Date,City,GHI,Temperature,Humidity,Cloud_Coverage,Wind_Speed,Precipitation,Pressure,Corrected_Wind_Speed
2022-01-01,Guwahati,3.834,16.244,81.578,13.347,0.458,1.331,96.976,2.04
2022-01-02,Guwahati,3.743,16.054,81.916,27.184,0.335,-0.071,97.11,1.803
2022-01-03,Guwahati,3.927,16.259,77.873,26.308,0.487,-0.762,97.03,1.84
2022-01-04,Guwahati,4.018,16.158,80.024,14.907,0.429,0.378,96.813,2.031
2022-01-05,Guwahati,4.052,15.965,77.367,12.58,0.516,0.931,97.095,2.052
2022-01-06,Guwahati,3.907,16.043,67.066,28.612,0.5,-0.126,97.085,1.657
2022-01-07,Guwahati,4.029,15.329,69.363,15.955,0.502,-0.742,97.222,1.825
2022-01-08,Guwahati,3.808,14.759,80.101,13.444,0.418,0.965,97.038,2.078
2022-01-09,Guwahati,3.588,14.151,84.451,41.687,0.374,0.719,97.173,2.257
2022-01-10,Guwahati,2.71,15.428,77.688,54.141,0.425,-0.644,96.831,1.802
2022-01-11,Guwahati,2.772,14.264,76.484,55.599,0.474,0.792,96.945,2.157
2022-01-12,Guwahati,3.102,14.1,79.74,49.453,0.448,-0.988,96.944,2.307
2022-01-13,Guwahati,3.789,14.577,75.887,37.584,0.493,-0.49,97.033,1.857
2022-01-14,Guwahati,4.034,15.692,70.152,23.714,0.642,-0.17,96.944,2.233
2022-01-15,Guwahati,3.993,15.075,68.12,23.115,0.517,0.503,97.134,2.525
2022-01-16,Guwahati,2.805,14.6,76.625,71.196,0.36,-0.211,96.89,2.673
2022-01-17,Guwahati,2.51,13.339,80.66,72.443,0.339,-0.555,96.917,2.469
2022-01-18,Guwahati,3.237,12.139,83.463,44.051,0.447,-0.141,97.092,2.377
2022-01-19,Guwahati,3.672,14.233,72.868,25.402,0.452,0.452,97.068,1.995
2022-01-20,Guwahati,4.197,14.649,77.208,10.388,0.563,-0.448,96.946,1.912
2022-01-21,Guwahati,3.676,13.538,76.45,34.557,0.449,0.425,96.804,2.853
2022-01-22,Guwahati,3.279,13.495,71.568,49.363,0.451,0.654,97.164,1.817
2022-01-23,Guwahati,3.763,14.414,76.322,40.851,0.334,-1.348,97.037,2.42
2022-01-24,Guwahati,3.84,15.221,73.896,31.424,0.315,2.057,96.968,1.752
2022-01-25,Guwahati,3.52,13.466,79.389,39.686,0.302,-0.354,97.252,2.309
2022-01-26,Guwahati,3.432,13.689,71.515,53.23,0.508,-1.343,97.192,1.928
2022-01-27,Guwahati,3.052,15.058,71.989,59.012,0.423,0.424,97.409,1.53
2022-01-28,Guwahati,3.763,15.655,73.549,38.522,0.409,-0.416,97.211,1.563
2022-01-29,Guwahati,3.914,14.823,73.889,43.766,0.545,1.017,97.177,1.689
2022-01-30,Guwahati,3.231,14.344,75.421,52.907,0.372,-0.074,97.105,2.472
2022-01-31,Guwahati,2.546,15.412,68.616,55.81,0.588,-0.181,97.061,2.347
2022-02-01,Guwahati,3.435,15.365,74.158,41.303,0.487,0.423,97.078,2.491
2022-02-02,Guwahati,2.075,15.656,75.693,64.642,0.859,0.553,96.766,4.146
2022-02-03,Guwahati,3.372,15.264,66.636,58.759,0.997,0.575,96.85,4.338
2022-02-04,Guwahati,3.729,14.201,66.198,52.745,0.558,0.284,97.001,2.567
2022-02-05,Guwahati,2.445,14.528,71.54,87.524,0.713,0.258,97.173,3.591
2022-02-06,Guwahati,2.823,16.051,80.032,73.99,0.836,-0.178,96.97,4.29
2022-02-07,Guwahati,3.266,14.978,72.926,54.754,0.923,-0.1,96.896,4.196
2022-02-08,Guwahati,3.274,13.062,64.072,73.982,0.607,0.471,96.959,3.642
2022-02-09,Guwahati,4.712,13.633,59.921,16.333,0.575,0.345,97.294,2.259
2022-02-10,Guwahati,5.522,16.025,57.845,1.449,0.633,0.304,96.993,2.215
2022-02-11,Guwahati,5.267,16.796,62.802,16.984,0.453,-0.215,97.346,2.696
2022-02-12,Guwahati,5.159,16.632,65.412,10.854,0.562,0.431,97.341,2.861
2022-02-13,Guwahati,4.647,16.621,61.706,29.095,0.515,0.98,97.155,3.262
2022-02-14,Guwahati,4.171,17.369,68.705,44.432,0.457,-1.004,97.05,3.269
2022-02-15,Guwahati,3.546,18.692,75.601,65.516,0.495,0.696,96.915,2.281
2022-02-16,Guwahati,4.585,18.278,76.993,8.961,0.491,-0.581,97.103,2.453
2022-02-17,Guwahati,3.936,17.594,73.898,27.048,0.69,-0.881,96.891,3.463
2022-02-18,Guwahati,3.285,16.913,62.503,67.511,0.641,-0.101,96.991,2.833
2022-02-19,Guwahati,4.057,16.881,61.921,40.141,0.525,0.587,96.935,3.177
2022-02-20,Guwahati,2.579,17.22,65.483,69.879,0.818,0.897,96.601,4.17
2022-02-21,Guwahati,2.607,19.145,75.73,76.231,0.887,2.388,96.665,4.364
2022-02-22,Guwahati,0.823,18.593,78.445,85.037,0.799,7.184,96.533,3.708
2022-02-23,Guwahati,4.463,18.38,71.574,71.002,1.071,3.428,96.583,4.244
2022-02-24,Guwahati,5.618,16.408,58.475,18.047,0.855,0.186,97.109,3.719
2022-02-25,Guwahati,3.405,15.85,64.31,81.293,0.675,0.696,97.099,2.814
2022-02-26,Guwahati,4.659,16.248,61.783,69.379,0.645,-0.242,97.167,2.245
2022-02-27,Guwahati,4.681,16.401,66.76,91.505,0.503,-0.766,96.929,2.391
2022-02-28,Guwahati,4.948,17.188,64.114,38.912,0.857,0.394,96.747,4.253
2022-03-01,Guwahati,4.351,18.626,67.05,55.459,0.717,0.317,96.759,3.447
2022-03-02,Guwahati,4.866,18.539,64.127,26.872,0.561,0.201,97.1,1.95
2022-03-03,Guwahati,5.124,18.665,66.815,22.514,0.532,-0.11,96.921,2.748
2022-03-04,Guwahati,4.163,19.561,63.089,52.158,0.793,0.204,96.663,3.908
2022-03-05,Guwahati,3.926,20.899,66.446,48.255,1.227,0.7,96.619,5.224
2022-03-06,Guwahati,5.562,19.928,60.258,28.312,1.279,-0.584,96.749,5.449
2022-03-07,Guwahati,5.757,18.252,50.733,27.141,0.821,1.002,96.635,3.995
2022-03-08,Guwahati,5.624,18.317,51.114,23.315,0.66,0.069,96.46,3.643
2022-03-09,Guwahati,5.808,18.144,51.067,19.988,0.81,-0.861,96.562,4.025
2022-03-10,Guwahati,5.096,18.58,51.95,38.122,0.681,-0.84,96.995,3.577
2022-03-11,Guwahati,5.304,18.804,54.878,22.633,0.518,-0.122,96.861,2.799
2022-03-12,Guwahati,5.769,19.415,60.256,6.819,0.387,-0.381,96.998,2.621
2022-03-13,Guwahati,5.376,21.094,51.811,21.944,0.926,0.012,96.637,4.516
2022-03-14,Guwahati,5.412,20.963,53.052,36.113,0.865,-0.154,96.629,4.24
2022-03-15,Guwahati,5.082,22.025,56.433,41.609,1.014,-0.19,96.519,5.104
2022-03-16,Guwahati,5.665,21.727,55.579,21.373,0.876,-0.386,96.673,4.202
2022-03-17,Guwahati,5.609,23.008,51.651,40.545,0.943,1.084,96.89,4.523
2022-03-18,Guwahati,5.636,23.337,53.173,42.823,0.863,0.336,96.719,4.019
